,GDP,CPI,Interest,Net Income Margin,Diluted EPS,Current Ratio,Cash Conversion Cycle,Debt to Equity,Volume,Unemployment,MA30,MA7,RSI,ADX,ATR,OBV,Walmart,S&P500
2016-04-01,,,,,,,,,,,,,,,,,19.36778259277344,2072.780029296875
2016-04-02,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,19807200.0,5.1,,,,,,19807200.0,19.36778259277344,2072.780029296875
2016-04-03,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,19807200.0,5.1,,,,,,19807200.0,19.36778259277344,2072.780029296875
2016-04-04,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,19807200.0,5.1,,,,,,19807200.0,19.379003524780277,2066.1298828125
2016-04-05,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,20470200.0,5.1,,,,,,40277400.0,19.249998092651367,2045.1700439453125
2016-04-06,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,17337000.0,5.1,,,,,,22940400.0,19.3621768951416,2066.659912109375
2016-04-07,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,16088100.0,5.1,,,,,,39028500.0,19.13220596313477,2041.9100341796875
2016-04-08,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,18331500.0,5.1,,19.31810460771833,,,,20697000.0,19.087337493896484,2047.5999755859373
2016-04-09,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,19548000.0,5.1,,19.27804102216448,,,,1149000.0,19.087337493896484,2047.5999755859373
2016-04-10,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,19548000.0,5.1,,19.23797743661063,,,,1149000.0,19.087337493896484,2047.5999755859373
2016-04-11,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,19548000.0,5.1,,19.19791385105678,,,,1149000.0,18.90224266052246,2041.989990234375
2016-04-12,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,23596200.0,5.1,,19.129805156162806,,,,-22447200.0,19.29486846923828,2061.719970703125
2016-04-13,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,23203800.0,5.1,,19.136215209960938,,,,756600.0,19.39302635192871,2082.419921875
2016-04-14,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,18788100.0,5.1,,19.14062227521624,,,,19544700.0,19.29486846923828,2082.780029296875
2016-04-15,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,20931300.0,5.1,,19.16385977608817,,,,-1386600.0,19.36778259277344,2080.72998046875
2016-04-16,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,22753500.0,5.1,,19.20392336164202,50.0,,0.0981567927769252,21366900.0,19.36778259277344,2080.72998046875
2016-04-17,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,22753500.0,5.1,,19.24398694719587,50.0,,0.0911455932928591,21366900.0,19.36778259277344,2080.72998046875
2016-04-18,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,22753500.0,5.1,,19.28405053274972,50.0,,0.0846351937719406,21366900.0,19.592145919799805,2094.340087890625
2016-04-19,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,19868700.0,5.1,,19.38260814121791,58.46896406973556,,0.0946157747186853,41235600.0,19.566898345947266,2100.800048828125
2016-04-20,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,24598200.0,5.1,,19.42146955217634,57.29294624250186,,0.0896609032282463,16637400.0,19.409847259521484,2102.39990234375
2016-04-21,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,16237500.0,5.1,,19.423872538975303,50.48996114421096,,0.094474487742356,399900.0,19.20232963562012,2091.47998046875
2016-04-22,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,19852800.0,5.1,,19.410652705601283,43.192016450025335,,0.1025489974679996,-19452900.0,19.272436141967773,2091.580078125
2016-04-23,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,18645300.0,5.1,,19.397031784057617,46.03016202828648,,0.1002316766736894,-807600.0,19.272436141967773,2091.580078125
2016-04-24,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,18645300.0,5.1,,19.38341086251395,46.03016202828648,,0.0930722711969973,-807600.0,19.272436141967773,2091.580078125
2016-04-25,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,18645300.0,5.1,,19.36978994097029,46.03016202828648,,0.0864242518257832,-807600.0,19.482770919799805,2087.7900390625
2016-04-26,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,17688600.0,5.1,,19.35416494097029,54.54066428907157,,0.0952750036833723,16881000.0,19.43509864807129,2091.699951171875
2016-04-27,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,19945200.0,5.1,,19.335336412702286,52.51921994582819,,0.0918748085437397,-3064200.0,19.468748092651367,2095.14990234375
2016-04-28,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,15441900.0,5.1,,19.34375081743513,53.82025684480427,,0.0877158539749067,12377700.0,19.325719833374023,2075.81005859375
2016-04-29,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.9322,11.0492,0.5548313021013982,14330700.0,5.1,,19.36137798854283,47.82196218006332,7.286331093507681,0.0916667400679379,-1953000.0,18.753610610961918,2065.300048828125
