Date,Type,Price,Shares,Cost,Capital_Left,Proceeds,Buy_Price,PnL_%
2025-01-07,BUY,90.13235473632812,1054.0055264051584,95000.0,5000.0,,,
2025-01-09,SELL,91.11497497558594,1054.0055264051584,,101035.6871625353,96035.6871625353,90.13235473632812,1.0901970131950456
2025-01-12,BUY,92.30601501464844,1039.8445083906659,95983.90280440853,5051.784358126766,,,
2025-01-15,SELL,90.6584014892578,1039.8445083906659,,99322.42528620765,94270.64092808089,92.30601501464844,-1.7849470861992824
2025-01-20,BUY,91.25393676757812,1033.9970785284672,94356.30402189726,4966.121264310394,,,
2025-02-03,SELL,98.79722595214844,1033.9970785284672,,107122.16426554874,102156.04300123834,91.25393676757812,8.266261655957829
2025-02-06,BUY,102.08251953125,996.8999248800689,101766.05605227129,5356.108213277446,,,
2025-02-10,SELL,102.1520004272461,996.8999248800689,,107191.42976554784,101835.3215522704,102.08251953125,0.06806346112453066
2025-02-14,BUY,103.26364135742188,986.1346834052108,101831.85827727045,5359.57148827739,,,
2025-02-22,SELL,94.0727310180664,986.1346834052108,,98127.95430784186,92768.38281956447,103.26364135742188,-8.900432154569659
2025-03-01,BUY,97.87416076660156,952.4634067080609,93221.55659244976,4906.3977153921005,,,
2025-03-05,SELL,95.26378631591795,952.4634067080609,,95641.66816576007,90735.27045036797,97.87416076660156,-2.6670721161109237
2025-03-25,BUY,84.35853576660156,1077.064507246276,90859.58475747205,4782.083408288017,,,
2025-03-27,SELL,85.22441101074219,1077.064507246276,,96574.27165892714,91792.18825063913,84.35853576660156,1.0264227991536976
2025-04-03,BUY,86.84669494628906,1056.4081699680276,91745.55807598078,4828.713582946366,,,
2025-04-06,SELL,82.79596710205078,1056.4081699680276,,92295.04966995685,87466.33608701048,86.84669494628906,-4.664227978673779
2025-04-12,BUY,92.3604507446289,949.3272984222409,87680.297186459,4614.752483497839,,,
2025-04-14,SELL,94.28131103515624,949.3272984222409,,94118.57478020972,89503.82229671188,92.3604507446289,2.079743304673115
2025-04-16,BUY,90.7580795288086,985.1756064628682,89412.64604119923,4705.928739010487,,,
2025-04-17,SELL,92.77845764160156,985.1756064628682,,96109.00201276485,91403.07327375436,90.7580795288086,2.226113777728909
2025-05-18,BUY,98.01107788085938,931.5635934859697,91303.5519121266,4805.450100638249,,,
2025-05-23,SELL,96.11550903320312,931.5635934859697,,94343.15908534214,89537.70898470389,98.01107788085938,-1.9340353036015703
2025-06-04,BUY,99.11849212646484,904.2308776925461,89626.00113107503,4717.15795426711,,,
2025-06-07,SELL,97.24288177490234,904.2308776925461,,92647.17429093955,87930.01633667244,99.11849212646484,-1.8922910461242863
2025-06-11,BUY,95.57677459716795,920.8807887413325,88014.81557639258,4632.358714546979,,,
2025-06-14,SELL,94.21994018554688,920.8807887413325,,91397.69154777455,86765.33283322757,95.57677459716795,-1.4196277467405602
2025-06-21,BUY,95.89602661132812,905.4369616616516,86827.80697038582,4569.88457738873,,,
2025-06-28,SELL,97.04334259033205,905.4369616616516,,92436.51384186973,87866.629264481,95.89602661132812,1.196416597795084
2025-06-30,BUY,97.55215454101562,900.1819443450089,87814.68814977624,4621.825692093495,,,
2025-07-12,SELL,94.1800308227539,900.1819443450089,,89400.98895659298,84779.16326449948,97.55215454101562,-3.4567393556068673
2025-07-15,BUY,95.167724609375,892.4342770342621,84930.93950876333,4470.049447829646,,,
2025-08-24,SELL,96.83000183105467,892.4342770342621,,90884.4621271532,86414.41267932355,95.167724609375,1.7466816911958845
2025-08-26,BUY,96.0500030517578,898.9092793080908,86340.23902079553,4544.223106357662,,,
2025-11-18,SELL,102.9499969482422,898.9092793080908,,97086.9306678722,92542.70756151454,96.0500030517578,7.183751876370323
